,nombre,etapa,curso,clase,hermano de
66,452,infantil,3,C,386
67,386,infantil,2,C,452
68,967,primaria,2,B,936
69,936,primaria,2,A,967
70,1608,primaria,6,A,1171
71,1156,primaria,3,B,451
72,451,infantil,3,B,1156
73,593,primaria,1,C,2151
74,2151,secundaria,3,A,593
75,2122,secundaria,2,B,822
76,822,primaria,2,A,2122
77,1726,primaria,6,B,1333
78,1333,primaria,4,B,1726
79,1543,primaria,5,B,693
80,693,primaria,1,A,1543
81,1143,primaria,3,A,589
82,589,primaria,1,B,1143
83,1178,primaria,4,C,1092
84,1092,primaria,3,A,1178
85,2523,secundaria,4,A,1404
86,1404,primaria,5,A,2523
87,1112,primaria,3,C,149
88,149,infantil,1,C,1112
89,980,primaria,3,C,1770
90,1770,secundaria,1,A,980
91,736,primaria,1,B,2074
92,2074,secundaria,2,B,736
93,48,infantil,1,A,1050
94,1050,primaria,3,A,48
95,1946,secundaria,1,C,2039
96,2039,secundaria,2,C,1946
97,2413,secundaria,4,B,957
98,957,primaria,2,A,2413
99,1644,primaria,6,A,2319
100,2319,secundaria,3,A,1644
101,2047,secundaria,2,B,1801
102,1801,secundaria,1,B,2047
103,2393,secundaria,4,C,294
104,294,infantil,2,A,2393
105,1315,primaria,4,B,397
106,397,infantil,3,B,1315
107,583,infantil,3,B,1369
108,1369,primaria,5,B,583
109,563,infantil,3,C,2523
110,973,primaria,2,B,1327
111,1327,primaria,4,B,973
112,69,infantil,1,A,1232
113,1232,primaria,4,C,69
114,1037,primaria,3,C,1234
115,1234,primaria,4,B,1037
116,580,infantil,3,B,2335
117,2335,secundaria,3,B,580
118,2270,secundaria,3,C,2485
119,2485,secundaria,4,B,2270
120,2490,secundaria,4,A,1540
121,1540,primaria,5,B,2490
122,1106,primaria,3,C,2377
123,2377,secundaria,4,B,1106
124,1957,secundaria,2,B,594
125,526,infantil,3,B,1098
126,1098,primaria,3,A,526
127,254,infantil,2,C,1319
128,1832,secundaria,1,C,613
129,613,primaria,1,B,1832
130,2472,secundaria,4,A,1459
131,1459,primaria,5,B,2472
132,1531,primaria,5,B,1321
133,1321,primaria,4,B,1531
134,1326,primaria,4,A,162
135,162,infantil,1,A,1326
136,1485,primaria,5,A,1232
137,922,primaria,2,B,2256
138,2256,secundaria,3,A,922
139,1761,secundaria,1,A,1659
140,1659,primaria,6,A,1761
141,1629,primaria,6,A,839
142,839,primaria,2,C,1629
143,806,primaria,2,C,1653
144,1653,primaria,6,A,806
145,12,infantil,1,A,1237
146,1237,primaria,4,B,12
147,480,infantil,3,A,106
148,106,infantil,1,B,480
149,1410,primaria,5,A,2140
150,1917,secundaria,1,A,2513
151,2513,secundaria,4,C,1917
152,503,infantil,3,C,2477
153,2477,secundaria,4,C,503
154,1284,primaria,4,A,1832
155,1250,primaria,4,C,516
156,516,infantil,3,A,1250
157,394,infantil,3,B,2022
158,2022,secundaria,2,A,394
159,555,infantil,3,A,2138
160,2138,secundaria,2,C,555
161,655,primaria,1,B,1495
162,1495,primaria,5,B,655
163,1894,secundaria,1,B,2488
164,2488,secundaria,4,B,1894
165,2519,secundaria,4,C,1816
166,1816,secundaria,1,B,2519
167,1294,primaria,4,B,2112
168,2112,secundaria,2,A,1294
169,2124,secundaria,2,A,638
170,638,primaria,1,C,2124
171,1648,primaria,6,B,990
172,990,primaria,3,A,1648
173,1892,secundaria,1,C,1515
174,1515,primaria,5,A,1892
175,299,infantil,2,C,49
176,49,infantil,1,B,299
177,431,infantil,3,C,1098
178,1353,primaria,4,A,2253
179,2253,secundaria,3,A,1353
180,119,infantil,1,C,1593
181,1593,primaria,6,A,119
182,1886,secundaria,1,C,1013
183,1013,primaria,3,C,1886
184,214,infantil,2,B,1989
185,1989,secundaria,2,A,214
186,2264,secundaria,3,C,1526
187,1526,primaria,5,C,2264
188,892,primaria,2,B,589
189,1480,primaria,5,B,1201
190,1201,primaria,4,B,1480
191,1815,secundaria,1,A,1176
192,1176,primaria,4,A,1815
193,873,primaria,2,A,1324
194,1324,primaria,4,B,873
195,395,infantil,3,C,1807
196,1807,secundaria,1,B,395
197,810,primaria,2,A,1548
198,1548,primaria,5,A,810
199,519,infantil,3,A,2320
200,2320,secundaria,3,B,519
201,928,primaria,2,B,1304
202,1304,primaria,4,C,928
203,305,infantil,2,C,1653
204,1074,primaria,3,A,942
205,942,primaria,2,A,1074
206,1869,secundaria,1,A,367
207,367,infantil,2,B,1869
208,2241,secundaria,3,A,2372
209,2372,secundaria,4,C,2241
210,795,primaria,2,A,723
211,723,primaria,1,A,795
212,1272,primaria,4,A,195
213,195,infantil,2,A,1272
214,923,primaria,2,C,319
215,319,infantil,2,B,923
216,2271,secundaria,3,A,1177
217,1177,primaria,4,B,2271
218,709,primaria,1,B,2233
219,2233,secundaria,3,B,709
220,1401,primaria,5,A,2368
221,2368,secundaria,4,B,1401
222,929,primaria,2,C,343
223,343,infantil,2,B,929
224,1846,secundaria,1,B,2075
225,2075,secundaria,2,C,1846
226,2364,secundaria,4,A,2495
227,2495,secundaria,4,C,2364
228,1996,secundaria,2,B,2210
229,2210,secundaria,3,C,1996
230,361,infantil,2,B,2074
231,2301,secundaria,3,A,1969
232,1969,secundaria,2,B,2301
233,1345,primaria,4,B,2313
234,2313,secundaria,3,A,1345
235,496,infantil,3,B,401
236,401,infantil,3,C,496
237,1246,primaria,4,B,599
238,1590,primaria,6,A,1176
239,1982,secundaria,2,C,1460
240,1460,primaria,5,C,1982
241,742,primaria,1,B,1946
242,1658,primaria,6,C,1785
243,1785,secundaria,1,A,1658
244,15,infantil,1,A,1754
245,1754,primaria,6,C,15
246,2016,secundaria,2,A,1178
247,677,primaria,1,C,1284
248,235,infantil,2,B,181
249,181,infantil,1,B,235
250,628,primaria,1,B,1529
251,1529,primaria,5,C,628
252,77,infantil,1,C,2291
253,820,primaria,2,B,288
254,288,infantil,2,A,820
255,800,primaria,2,C,1310
256,1310,primaria,4,C,800
257,1667,primaria,6,C,1929
258,1929,secundaria,1,A,1667
259,633,primaria,1,A,99
260,99,infantil,1,A,633
261,2437,secundaria,4,B,660
262,660,primaria,1,A,2437
263,1451,primaria,5,C,870
264,870,primaria,2,A,1451
265,430,infantil,3,B,1047
266,1047,primaria,3,A,430
267,1160,primaria,3,C,1011
268,1011,primaria,3,A,1160
269,73,infantil,1,B,261
270,261,infantil,2,A,73
271,2169,secundaria,3,A,694
272,694,primaria,1,B,2169
273,74,infantil,1,C,659
274,659,primaria,1,C,74
275,534,infantil,3,A,933
276,933,primaria,2,A,534
277,1450,primaria,5,B,661
278,661,primaria,1,B,1450
279,360,infantil,2,A,1926
280,1926,secundaria,1,A,360
281,2449,secundaria,4,B,2287
282,2287,secundaria,3,B,2449
283,2298,secundaria,3,A,930
284,930,primaria,2,A,2298
285,2186,secundaria,3,C,589
286,1116,primaria,3,A,1208
287,1208,primaria,4,C,1116
288,1654,primaria,6,B,1125
289,1125,primaria,3,A,1654
290,1753,primaria,6,B,2271
291,399,infantil,3,A,1108
292,1108,primaria,3,B,399
293,726,primaria,1,A,1177
294,2442,secundaria,4,A,1517
295,2494,secundaria,4,B,47
296,47,infantil,1,C,2494
297,472,infantil,3,B,563
298,1724,primaria,6,C,1096
299,1096,primaria,3,B,1724
300,506,infantil,3,C,163
301,163,infantil,1,B,506
302,320,infantil,2,C,2153
303,2153,secundaria,3,C,320
304,1510,primaria,5,B,704
305,704,primaria,1,C,1510
306,352,infantil,2,B,1654
307,262,infantil,2,B,219
308,219,infantil,2,A,262
309,1124,primaria,3,C,2159
310,2159,secundaria,3,C,1124
311,1595,primaria,6,C,2273
312,2273,secundaria,3,C,1595
313,626,primaria,1,C,1872
314,1872,secundaria,1,A,626
315,561,infantil,3,A,1647
316,1647,primaria,6,A,561
317,203,infantil,2,C,2422
318,2422,secundaria,4,B,203
319,2374,secundaria,4,B,2366
320,2366,secundaria,4,C,2374
321,1130,primaria,3,C,1011
322,2067,secundaria,2,A,2262
323,2262,secundaria,3,A,2067
324,114,infantil,1,A,478
325,478,infantil,3,B,114
326,1766,secundaria,1,C,1078
327,1078,primaria,3,B,1766
328,2515,secundaria,4,B,771
329,771,primaria,1,A,2515
330,1920,secundaria,1,A,1907
331,1907,secundaria,1,C,1920
332,415,infantil,3,B,1303
333,1303,primaria,4,B,415
334,1215,primaria,4,A,2374
335,1594,primaria,6,B,2242
336,2242,secundaria,3,B,1594
337,429,infantil,3,A,940
338,940,primaria,2,B,429
339,2174,secundaria,3,C,29
340,29,infantil,1,C,2174
341,279,infantil,2,A,1410
342,1744,primaria,6,B,266
343,266,infantil,2,C,1744
344,1624,primaria,6,B,561
345,1824,secundaria,1,A,1086
346,1086,primaria,3,A,1824
347,1132,primaria,3,B,892
348,2501,secundaria,4,C,1106
349,1898,secundaria,1,C,314
350,314,infantil,2,C,1898
351,2355,secundaria,4,A,2266
352,2266,secundaria,3,B,2355
353,1385,primaria,5,C,1283
354,1283,primaria,4,C,1385
355,1580,primaria,6,C,2085
356,2085,secundaria,2,A,1580
357,150,infantil,1,A,810
358,1354,primaria,4,B,978
359,978,primaria,3,A,1354
360,2439,secundaria,4,A,936
361,1835,secundaria,1,C,1209
362,1209,primaria,4,A,1835
363,481,infantil,3,B,2228
364,2228,secundaria,3,C,481
365,424,infantil,3,B,1136
366,1136,primaria,3,C,424
367,1179,primaria,4,A,2250
368,2250,secundaria,3,A,1179
369,1063,primaria,3,B,2179
370,2179,secundaria,3,B,1063
371,1708,primaria,6,B,2411
372,2411,secundaria,4,C,1708
373,462,infantil,3,A,148
374,148,infantil,1,B,462
375,854,primaria,2,C,73
376,2283,secundaria,3,A,1191
377,1191,primaria,4,A,2283
378,218,infantil,2,C,959
379,959,primaria,2,C,218
380,1290,primaria,4,A,265
381,1625,primaria,6,C,1195
382,1195,primaria,4,B,1625
383,259,infantil,2,B,989
384,989,primaria,3,C,259
385,769,primaria,1,B,1784
386,1784,secundaria,1,C,769
387,426,infantil,3,A,923
388,474,infantil,3,A,551
389,551,infantil,3,C,474
390,734,primaria,1,C,1300
391,1300,primaria,4,B,734
392,1974,secundaria,2,A,1550
393,1550,primaria,5,C,1974
394,680,primaria,1,C,1796
395,1796,secundaria,1,C,680
396,590,primaria,1,C,2298
397,1840,secundaria,1,B,1404
398,729,primaria,1,A,1674
399,1674,primaria,6,A,729
400,1087,primaria,3,B,512
401,512,infantil,3,C,1087
402,2229,secundaria,3,A,700
403,700,primaria,1,B,2229
404,2232,secundaria,3,A,2404
405,2404,secundaria,4,B,2232
406,1607,primaria,6,C,1872
407,2056,secundaria,2,B,808
408,808,primaria,2,B,2056
409,2457,secundaria,4,A,2506
410,2506,secundaria,4,B,2457
411,2225,secundaria,3,C,655
412,232,infantil,2,B,1401
413,1254,primaria,4,A,897
414,897,primaria,2,A,1254
415,325,infantil,2,B,897
416,458,infantil,3,C,2122
417,1244,primaria,4,C,2446
418,2446,secundaria,4,B,1244
419,2208,secundaria,3,A,1222
420,1222,primaria,4,B,2208
421,2185,secundaria,3,B,1770
422,269,infantil,2,C,134
423,134,infantil,1,C,269
424,53,infantil,1,C,2247
425,2247,secundaria,3,A,53
426,2331,secundaria,3,A,2273
427,1518,primaria,5,A,1188
428,1188,primaria,4,A,1518
429,146,infantil,1,C,2510
430,2510,secundaria,4,C,146
431,992,primaria,3,C,60
432,60,infantil,1,A,992
433,1417,primaria,5,B,1357
434,1357,primaria,4,B,1417
435,1679,primaria,6,C,2260
436,2260,secundaria,3,B,1679
437,387,infantil,2,A,2158
438,2158,secundaria,3,B,387
439,1070,primaria,3,C,1066
440,1066,primaria,3,B,1070
441,1306,primaria,4,B,901
442,901,primaria,2,B,1306
443,2206,secundaria,3,B,340
444,340,infantil,2,B,2206
445,2499,secundaria,4,A,1120
446,1120,primaria,3,B,2499
447,497,infantil,3,C,228
448,228,infantil,2,A,497
449,1905,secundaria,1,A,1759
450,1759,secundaria,1,B,1905
451,1621,primaria,6,B,244
452,244,infantil,2,B,1621
453,981,primaria,3,A,677
454,2063,secundaria,2,C,341
455,341,infantil,2,C,2063
456,1930,secundaria,1,B,522
457,522,infantil,3,A,1930
458,2243,secundaria,3,C,981
459,764,primaria,1,C,312
460,312,infantil,2,A,764
461,1359,primaria,4,A,1526
462,564,infantil,3,A,2006
463,2006,secundaria,2,C,564
464,1153,primaria,3,B,2354
465,2354,secundaria,4,C,1153
466,1332,primaria,4,A,388
467,388,infantil,2,B,1332
468,369,infantil,2,A,1957
469,1361,primaria,4,C,2131
470,2131,secundaria,2,B,1361
471,1069,primaria,3,B,428
472,428,infantil,3,C,1069
473,1458,primaria,5,A,1682
474,1682,primaria,6,C,1458
475,790,primaria,2,B,2202
476,2202,secundaria,3,A,790
477,1881,secundaria,1,A,1160
478,1643,primaria,6,C,155
479,155,infantil,1,C,1643
480,1094,primaria,3,C,252
481,252,infantil,2,A,1094
482,1252,primaria,4,B,563
483,1422,primaria,5,A,2513
484,2183,secundaria,3,C,399
485,2188,secundaria,3,B,2331
486,372,infantil,2,A,1537
487,1537,primaria,5,B,372
488,1942,secundaria,1,B,1010
489,1010,primaria,3,C,1942
490,1582,primaria,6,B,2495
491,1878,secundaria,1,A,2183
492,2170,secundaria,3,B,977
493,977,primaria,3,C,2170
494,2470,secundaria,4,B,1591
495,1591,primaria,6,B,2470
496,2032,secundaria,2,B,259
497,1748,primaria,6,C,458
498,332,infantil,2,C,474
499,849,primaria,2,A,2306
500,2306,secundaria,3,C,849
501,524,infantil,3,C,2327
502,2327,secundaria,3,C,524
503,2132,secundaria,2,C,1699
504,1699,primaria,6,B,2132
505,642,primaria,1,A,1254
506,727,primaria,1,B,2156
507,2156,secundaria,3,C,727
508,1297,primaria,4,B,2043
509,2043,secundaria,2,A,1297
510,61,infantil,1,B,1419
511,1419,primaria,5,A,61
512,548,infantil,3,C,310
513,2199,secundaria,3,A,446
514,446,infantil,3,C,2199
515,1427,primaria,5,C,229
516,229,infantil,2,B,1427
517,2145,secundaria,3,A,108
518,108,infantil,1,A,2145
519,2221,secundaria,3,B,207
520,207,infantil,2,A,2221
521,217,infantil,2,B,583
522,575,infantil,3,C,1478
523,1478,primaria,5,C,575
524,1626,primaria,6,A,464
525,464,infantil,3,C,1626
